ID,Name,Categories,,,,,,Neighborhoods
2916,Agua 301,Mexican,,,,,,Navy Yard
2915,Philos,Mediterranean,Wine Bars,Tapas/Small Plates,,,
2919,The Big Stick,Bars,American (New),,,,,Navy Yard
2917,The Bachelor's Mill,Gay Bars,Dance Clubs,,,,,Navy Yard
2834,The Argonaut,Bars,American (Traditional),,,,
2873,Po Boy Jim,Cajun/Creole,Bars,American (New),,,,H Street Corridor/Atlas District/Near Northeast
2832,Town Hall,American (Traditional),Bars,American (New),,,,Glover Park
2538,14K Restaurant & Lounge,American (New),Lounges,,,,
2921,Due South,Southern,Cajun/Creole,Barbeque,,,,Navy Yard
2410,Billy Goat Tavern,Bars,American (Traditional),,,,
2922,Gordon Biersch Brewery Restaurant,American (New),Breweries,,,,,Penn Quarter
2425,La Loma,Mexican,,,,,,Capitol Hill
2932,Langston Bar & Grille,Southern,American (Traditional),Soul Food,,,,Kingman Park
2930,Bidwell,Bars,American (New),Breakfast & Brunch,,,
2952,Bibiana Osteria & Enoteca,Italian,,,,,
3180,Chuck & Billy's Bar,Restaurants,Dive Bars,,,,
2976,Denson Liquor Bar,Cocktail Bars,,,,,,Penn Quarter
2547,BlackFinn American Saloon,Sports Bars,American (Traditional),Pubs,,,
2446,Union Pub,Pubs,American (Traditional),,,,,Capitol Hill
2483,Lucky Strike,Lounges,Bowling,Sports Bars,,,
2570,High Velocity,Sports Bars,,,,,
2567,Green Lantern,Gay Bars,,,,,
2500,Ardeo + Bardeo,American (New),Breakfast & Brunch,,,,
2737,Circa,American (New),,,,,,Foggy Bottom
2844,Driftwood Kitchen,Bars,American (Traditional),Mediterranean,,,,H Street Corridor/Atlas District/Near Northeast
2978,Jaleo,Spanish,Tapas Bars,,,,,Penn Quarter
2427,Matchbox Vintage Pizza Bistro,Pizza,American (New),,,,,Chinatown
2548,BLT Steak DC,Steakhouses,Bars,,,,
2850,Granville Moore's,American (New),Belgian,Gastropubs,,,,H Street Corridor/Atlas District/Near Northeast
2736,Burger Tap & Shake,Burgers,,,,,,Foggy Bottom
2474,Flight,Vegan,American (New),Halal,,,
2665,Mai Thai,Thai,Sushi Bars,,,,,Georgetown
2666,The Front Page,Bars,American (Traditional),,,,,Dupont Circle
3226,Prequel,Wine Bars,Burgers,Seafood,,,
3110,The Prospect,Sports Bars,American (Traditional),,,,,U Street Corridor
3225,Ezme Restaurant & Wine Bar,Turkish,Mediterranean,Tapas/Small Plates,,,,Dupont Circle
2895,Drafting Table,Gastropubs,Breakfast & Brunch,,,,,Logan Circle
2899,Ghibellina,Italian,Cocktail Bars,Pizza,,,,Logan Circle
2900,Rice,Thai,,,,,,Logan Circle
2870,Kitty's Saloon,Bars,American (New),,,,,H Street Corridor/Atlas District/Near Northeast
2605,Nagomi Izakaya,Japanese,Tapas/Small Plates,,,,
2764,Bistrot Lepic & Wine Bar,French,Wine Bars,,,,,Georgetown
2733,Bayou,Music Venues,Cajun/Creole,,,,
2901,Logan Tavern,Bars,Burgers,American (New),,,,Logan Circle
2902,Sotto,Cocktail Bars,Jazz & Blues,Barbeque,,,,Logan Circle
2903,Teak Wood,Thai,Sushi Bars,,,,,Logan Circle
2904,Thai Tanic Restaurant,Thai,,,,,,Logan Circle
2908,Posto,Italian,,,,,,Logan Circle
2993,Laughing Man Tavern,American (Traditional),Sports Bars,,,,
2714,Russia House Restaurant & Lounge,Lounges,Russian,,,,
2719,Sign of the Whale,Dive Bars,,,,,
2730,The 51st State Tavern,Sports Bars,,,,,,Foggy Bottom
2681,Parlay,Lounges,Sports Bars,Cocktail Bars,,,
3238,Peace Lounge,Hookah Bars,Lounges,,,,
2989,Iron Horse Tap Room,Bars,,,,,,Penn Quarter
2701,City Tap House,Gastropubs,Bars,American (New),,,
2710,Zorba's Cafe,Greek,Pizza,Mediterranean,,,,Dupont Circle
2749,Tonic Restaurant,American (New),Southern,Bars,,,,Foggy Bottom
3041,Table,Modern European,,,,,,Shaw
2787,Epicurean and Company,Delis,Asian Fusion,Bars,,,,Georgetown
2539,Acadiana,Cajun/Creole,,,,,
2327,The Blaguard,Sports Bars,Irish,Gastropubs,,,
2324,Bedrock Billiards,Pool Halls,Lounges,Dive Bars,,,,Adams Morgan
2336,Duplex Diner,Bars,Diners,,,,
2892,Commissary,American (Traditional),American (New),,,,,Logan Circle
3201,Cities Restaurant & Lounge,American (Traditional),Lounges,,,,
3253,Dupont Italian Kitchen,Italian,,,,,,Dupont Circle
2450,Montmartre,French,,,,,,Capitol Hill
2577,Froggy Bottom Pub,Vietnamese,American (New),Pubs,,,
2862,The Star and Shamrock,Bars,Irish,Delis,,,,H Street Corridor/Atlas District/Near Northeast
2513,St. Arnold's,Bars,Seafood,,,,,Cleveland Park
3153,Soi 38,Thai,,,,,
2376,Uniontown Bar and Grill,American (Traditional),Lounges,Cajun/Creole,,,,Anacostia
2412,Cafe Berlin,German,Cafes,,,,,Capitol Hill
2339,The Diner,Diners,Bars,,,,,Adams Morgan
2618,Taberna Del Alabardero,Spanish,Tapas Bars,,,,
2806,Mr. Smith's of Georgetown,Bars,American (Traditional),,,,
2619,Vidalia,Southern,,,,,
2782,El Centro D.F.,Bars,Mexican,,,,,Georgetown
2858,Ocopa,Peruvian,,,,,
2860,Red Rocks Neopolitan Bistro,Pizza,Bars,,,,
2735,Charm Thai,Thai,,,,,
3237,Redline,American (Traditional),Sports Bars,,,,
3214,Black Jack,Lounges,Cocktail Bars,,,,,Logan Circle
2664,The Fireplace,Gay Bars,,,,,
3251,The Brixton,Bars,,,,,
3240,DNV Rooftop Lounge,Lounges,Breakfast & Brunch,Arts & Entertainment,,,
2531,Maple,Wine Bars,Italian,,,,,Columbia Heights
2479,Proof,American (New),Wine Bars,,,,
2537,The Wonderland Ballroom,Dance Clubs,Dive Bars,American (New),,,,Columbia Heights
3252,Bourbon,Bars,American (Traditional),,,,,Adams Morgan
2634,The Big Hunt,Pubs,,,,,,Dupont Circle
2442,Sonoma Restaurant and Wine Bar,American (New),Wine Bars,,,,,Capitol Hill
3158,Bar Civita,American (New),,,,,,Woodley Park
2534,Thip Khao,Laotian,,,,,,Columbia Heights
2529,Lou's City Bar,Sports Bars,,,,,,Columbia Heights
2341,Döner Bistro,German,,,,,
2460,Asian Spice,Asian Fusion,,,,,,Chinatown
2462,Bar Louie,Bars,American (New),,,,
3129,Sudhouse,Bars,Gastropubs,,,,,U Street Corridor
